name,president,email,url,facebook,membership,about,date_established
Labour Society,Danny Filer,,,http://www.facebook.com/uclulabour,2.00,"UCLU Labour Society hosts a variety of events across the year, from speaker events and panel discussions to socials. These can range from topics such as political spin and the Labour Party to women in the trade union movement.  We also host trips to Parliament and hear from MPs, past speakers including John McDonnell, Rachel Reeves and Jon Cruddas. You can get involved with Labour Students nationally with us, or meet like-minded activists in London Young Labour.  We invite anyone interested in Labour politics to join us - whether you're a party member or just someone keen to get more involved. So if you're interested in attending our socials, hearing from interesting speakers and learning more about Labour politics - join today!  UCLU Labour Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
Krishna Consciousness Society,Varun Bhalla,uczxkcs@ucl.ac.uk,,,3.00,"Have you ever wondered what it's like to feel truly alive? Without realising, we go about life exploring ways to remain excited, enlivened and forever blissful through our experiences; be it through music, books, films, people and places.  UCLU Krishna Consciousness Society provides an alternative modern insight into spirituality and how we can go about living life- making the most of such a precious gift.  Have you ever tried yoga or meditation? Are you interested in philosophy or spirituality? Do you want to look at the world a little more closely?  The Krishna Consciousness Society aims to put students in touch with Eastern spiritual techniques, so that they can apply ancient wisdom to modern times.  We talk. We chill. We cook. We eat. We sing. We dance. We journey to some of the most beautiful spiritual centres in England..you name it!  Who says spirituality can't be fun?",
Kurdish Society,Nallie Kayani,uclu-kurdish.society@ucl.ac.uk,,https://www.facebook.com/uclukurdishsociety,2.00,"The Kurdish society is here for those interested in all things Kurdish! From cultural events to friendly socials, the aim of the society is to engage with the wider student body and provide a wealth of information about the largest ethnic group in the world without a state. All are welcome to join!  UCLU Kurdish Society have signed the Zero Tolerance to Sexual Harassment Pledge.",March 2015
Korean Society,Sang Lee,uczxkor@ucl.ac.uk,,,2.00,The Korean Society currently provides Korean lessons for the foreigners who have interests in Korean cultures and lifestyle. We are improving and expanding every year to provide various events to students who join. Additional charges can occur for some activities.  Please refer to the Facebook group below and contact us through Facebook!,
Knitting Society,Bethany Turrall,uclu-knitting.society@ucl.ac.uk,,https://www.facebook.com/UCLUKnittingSociety,3.00,"Meetings held weekly for casual knitting, crocheting and chatting while eating biscuits. Knitters of all skill levels are welcome! Workshops will be run throughout the year and we are a relatively new society so we are open to lots of new ideas! We will also be working alongside the charity Knit for Peace who have supplied us with yarn and needles for volunteers to use plus we make toys for children at UCH- so if you would like to try out knitting and do something for charity at the same time - come have a go!  If you are looking to learn this craft, improve your knitting skills or just socialise and knit then this is the society for you!  UCLU Knitting Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",August 2012
Kickboxing Club,Anna Zonia,uczxkck@ucl.ac.uk,,http://www.facebook.com/groups/58235829912,5.00,"We are proud to provide the newest, freshest and coolest form of sport martial art on offer at UCL. People decide to learn kickboxing for various reasons such as self-defence, to keep fit or as a means of stress relief. Whatever your reason, the club is open to all and caters for every ability level, so don't worry if you haven't done kickboxing before (because we know that the majority of our members do not have prior kickboxing experience). The brand of kickboxing we practice at UCL is unique and comes from a blend of a variety of marital arts such as shotokan karate, taekwondo and boxing. Our aims are clear - to help all of our members keep fit, stay focused and learn how to defend themselves. Our sessions are lead by a fully qualified external instructor, with each session comprising of three main parts: stretching, stamina building & flexibility; fighting technique practice & consolidation; and finally, light sparring. Expect to be pushed both physically and mentally during every session. All that being said, also expect to have a lot of fun along the way! ",
Kendo Club,Sam Finnegan,,,https://www.facebook.com/groups/uclkendo,3.00,"Kendo is derived from Samurai fighting. Bamboo practice swords are used to strike various targets protected by armour. It's a dynamic, full-contact martial art with emphasis upon speed, skill and technique; not purely strength. This allows men and women of any age to practice together on an equal footing. UCLU Kendo Club welcomes complete beginners along with experienced Kendoka. We are a social and competitive club who frequent tournaments both nationally and internationally. If bashing people with bamboo followed by a beer sounds like your cup of tea, then sign up and join our sessions!",
Mountaineering Club,Francesca Greenstreet,uczxmoe@ucl.ac.uk,,http://www.facebook.com/groups/2214778156,20.00,"Bored of the ground? UCLUMC welcomes anyone interested in the outdoors, running rock climbs, wild hikes and winter mountaineering to all corners of the British Isles and beyond. We meet most Wednesdays and Fridays in the Castle Climbing Centre for a few hours of climbing and you can usually find us in the Brownswood Tavern afterwards. People of all abilities welcome, come and see what we’re all about!  UCLU Mountaineering Club have signed the Zero Tolerance to Sexual Harassment Pledge .     This Club is Pride in Sport Accredited  ",September 1985
Modo Fashion Society,Mariko Siig,uczxmod@ucl.ac.uk,,https://www.facebook.com/MODOFashionSociety,8.00,"MODO Fashion Society is a vehicle for UCL’s talented individuals to showcase their work in our fantastic annual runway show. But that’s not all we do! Come join us if you’re interested in being involved with designing, modelling, photography, photoshoots, PR/Events, fashion blogging, life-drawing, hair and make-up and backstage work. Membership gives you discounted entry to all sewing classes and socials, along with free access to photography workshops, hair and make classes and art classes. Join us, and don’t miss out!  UCLU MODO Fashion Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Mixology Society,Andrew Tindall,,,https://www.facebook.com/mixologysociety/,,"Love drinks and cocktails? So do we.  UCLU Mixology Society provides affordable cocktail and drink socials; tasting and making sessions and trips around London to bars, distilleries and other events.  We are a social heavy society which focuses on getting the most out of London's amazing drink scenes at the very best prices. Society members get access to cocktail making sessions, happy-hour bar trips, drink tastings, discounts, promotions, huge bar crawls and so much more.  We have events for those who want to get into making cocktails but haven't had the chance yet, like our basic cocktail sessions. Events for enthusiasts and bar workers, like our sponsored creation competitions and skill workshops. And events for those who just like to taste and drink cocktails and other beverages, like our cocktail crawls. We even run student priced cocktails bars and socials for other societies (just drop us an email).  We suspect this is the society you don't want to miss out on  Sign up to our mailing list to be kept in the loop (and win stuff...and get discounts at nice places...and even get free stuff from time to time...and we might send you cocktail related puns) >> HERE <<",September 2016
Model United Nations Society,Thomas Barclay,uczxmun@ucl.ac.uk,,https://www.facebook.com/groups/uclumodelunitednations/,5.00,"The UCLU Model United Nations society runs activities centred on the United Nations. These include simulations where a delegate represents a specific country's position in debates on a world issue. These can be as diverse as malaria prevention in the WHO to a no-fly zone in the Security Council. The ultimate aim is to pass a resolution addressing the topic.  We are an affiliated branch of the UK chapter of the United Nations Association  (UNA-UK), which gives us special access to speakers, events and material. As well, we run a schools programme with the VSU, and currently work with four schools across London. Volunteers receive special training from UCL and are reimbursed for their expenses.  Model United Nations society is not only for the people interested in debating or the United Nations, but also for those who would like to improve their public speaking and negotiation skills. We also offer friendly socials, great speakers and the opportunity to travel around the UK and internationally, to places such as New York, Oxford and Warwick.  Meetings are held at the UCL campus on Tuesdays from 6-8pm, rooms will be confirmed closer to the start of term.  Interested to learn more? Visit us at http://uclmun.co.uk , like our facebook page https://www.facebook.com/uclmunsoc and join our facebook group www.facebook.com/groups/481987111842003/  UCLU Model United Nations Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Mixed Martial Arts (FRT MMA) Club,Edward Collins,,,https://www.facebook.com/groups/fiveringstraining/,10.00,"UCLU Mixed Martial Arts club is UCLU’s most diverse martial arts club, able to teach you the best techniques from all of the most powerful fighting styles. Those styles include Muay Thai, Karate, Brazilian Jiu-Jitsu, Judo and special sessions on the ultimate self defence martial art: Krav Maga.  Join our sessions to receive intensive fighting and fitness training from world-class coach Kirsty Henderson, former World's Top Ranked Shidokan MMA female fighter, winner of England's Best MMA Coach award and personal safety expert. There is absolutely no experience required to join these sessions. If you’ve never learned to throw a punch or kick in your life, we will teach you. Likewise, if you’re an experienced fighter then there’s a place for you too. We segregate classes at each session so that everyone receives training appropriate to their level.  There is plenty of opportunity to compete as part of UCLU MMA, but no obligation to do so. In the last two years, the club has produced three English champions, four cage fighting champions and has won the Combudo British Championship. As well as competitions you can participate in gradings to earn belts - beginning with a Blue belt and progressing to the prestigious Black belt.  New to this year, the club will be running Self Defence classes once per month, and Girls Only Self Defence sessions once per term. Here you will learn the fighting style called Krav Maga, the ultimate self defence martial art. You’ll be taught to spot and react to danger in the street, how to disable and escape from attackers and disarm an attacker with a knife or gun. These sessions take place on the last Thursday of every month in place of the normal MMA session.  On top of all that we offer a thriving social scene, with regular team socials where you can relax, have fun and get to know everyone from the club.  So whatever your fitness or experience level, come to one of our sessions, learn how to fight, learn how to protect yourself, get fit and make new friends while you’re at it.  Training is in Bloomsbury Fitness, at the following times:  Tuesday 8pm - 9:30pm  Thursday 8pm - 9:30pm  UCLU Mixed Martial Arts have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Mindful Society,Tamara Berber,uclu-mindful.society@ucl.ac.uk,,https://www.facebook.com/uclumindfulsociety,5.00,"Mindfulness is non-judgemental awareness of the present moment. It can be your lifestyle or a type of meditation practice, depending on how you employ it.  Come to try meditation and to check out UCLU Mindful Soc’s own ‘Mindful Collective’ where we experiment with other ways of being Mindful and hang out. Openness and creativity are welcome.  For the rest of the year meditation takes place on Monday, and Mindful Collective on Thursday.  You only need to come to once, then you can buy £5 membership to enjoy society events and activities for the rest of the year. (Your money is used to buy refreshments and finance the wishes and dreams of our members!)  Hope to see you there :)  UCLU Mindful society have signed the Zero Tolerance to Sexual Harassment Pledge.  facebook.com/uclumindfulsociety  twitter.com/uclmindful  mindful.moonfruit.com",March 2015
Mexican Society,Carolina Ramos Rivera,uclu-mexicansociety@ucl.ac.uk,,http://www.facebook.com/uclmexsoc,5.00,"¡Hola! People from all over the world are welcome in this effort to share Mexican culture. Throughout the year we organise activities to celebrate our traditions, such as Día de Muertos or a Posada, discussions about current Mexican issues, conferences with scholars who study Mexico, networking events and parties with Mexican music. Visit our facebook group https://www.facebook.com/groups/uclmexsoc/ and page https://www.facebook.com/uclmexsoc to know more.  UCLU Mexican Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",January 2013
Mind Sports Society,Akbar Ballard,,,http://www.facebook.com/groups/291456607533052/,3.00,"UCLU Mind Sports Society is based on a weekly meet-up to play board games, card games and any other fun or fruitful activity of the mind. We meet every week on Friday from 5pm to 9pm in the Institute of Education, Room S13 . To get there, it's just off the side of the IOE bar. There's a huge variety of games, from Risk to Cards Against Humanity, Settlers or Catan to Sanguosha. Don't feel pressed to turn up at 5, or worry about staying until 9, drop in when you can, play some games and leave when you're ready. We buy new games when we can, so feel free to recommend, and we're always interested in playing any you want to bring along and share, so come along, make some friends, stretch your mind and, of course, have some fun! ",
Medsin Society,Christen van Den Berghe,uclmedsin@gmail.com,,https://www.facebook.com/pages/UCL-Medsin/1503833423222612?ref=aymt_homepage_panel,2.00,"UCLU Medsin is the UCL branch of a national network of students that campaign on global health and international development issues. We tackle a range of global and local inequalities through education, advocacy and community action.  We have a vision of ‘a fair and just world in which equity in health is a reality for all’ and believe that the students of today are critical to bringing about an equitable and healthy world of tomorrow. We are a very active society, having won the Most Developed Society of the Year 2014-15 and shortlisted for Most Developed Society of the Year 2013-14 and Best Overall Society 2013-14. We have an active campaigning stream, educational courses running throughout the year if you wish to widen your knowledge on global health and international development issues, or we have our regular Café Medsin events which involve all members meeting up over a drink and socialising as well as informally discussing contemporary issues of interest. We are an open and inclusive group, welcoming members from all degree programs and levels of expertise . If you have a passion for equity then jump in!  UCLU Medsin Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",September 1999
Medical Society,Kirtana Vallabhaneni,,,https://www.facebook.com/uclumedicalsociety,3.00,"UCLU Medical Society welcomes speakers from a wide variety of medical specialties with over 17 different sections dedicated to everything from psychiatry and paediatrics to enterprise and innovation. These events enable students to learn more about areas of interest and possible career options, as well as providing ample networking opportunities. We also organise valuable education events to supplement the 5 core years of the MBBS including peer lectures and SBA/OSCE exam workshops.  This year we are excited to see the return of MedSoc Mondays - with an event hosted by one or more of our different sections every Monday there's always something interesting going on...  Term 1 2015 Events:  12th October = Battle of the Specialties  19th October = A Whistlestop Tour of Sports and Exercise Medicine  26th October = My Most Memorable Case  2nd November = Electives Fayre  9th November = The Promise of Immunotherapy  16th November = Ebola Epidemic: The Aftermath  23rd November = The Duty of Candour: patients, troubles and what really matters  30th November = 3D Printing in Orthopaedics: past, present and future  7th December = Paeds and Protons: the power of the beam  To keep up-to-date with all these events and many more like our Facebook page: https://www.facebook.com/uclumedicalsociety   UCLU Medical Society have signed the Zero Tolerance to Sexual Harassment Pledge .",January 2011
Mauritian Society,Sharvanee Mauree,,,https://www.facebook.com/groups/469676216500889/,3.00,"MAURITIUS. Ever heard of this paradise of Tropical Island? Want to know more? Not a Mauritian? That’s not an issue; the Mauritian Society welcomes anyone and everyone who is interested in experiencing aspects of Mauritius, form its music and folklore, to its cuisine and major attractions. Feel free to join us and have the opportunity to learn more about Mauritius and its amazing culture, sega dance and Mauritian Creole or simply meet new and warm people! We got plenty of activities coming up, so make sure to join our Facebook group and mailing list for more updates!  For any queries, please feel free to email us at uclu.mauritian-society@ucl.ac.uk  UCLU Mauritian Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
MDs Comedy Revue Society,Oziegbe Eboreime,uczxmdc@ucl.ac.uk,,https://www.facebook.com/MDsComedyRevue,8.00,"A light-hearted platform for acting, musical performing, comedy sketch-writing, tech and production.  We are the oldest revue society in the country and winners of the UH Revue 2014 (making us the funniest medical school in London!) We write and perform medicine-based comedy sketches in several shows during the year. If performing isn’t for you, members of the society can also get involved behind the scenes as a theatre technician or play as part of our live house band.  If you love any form of acting, dancing, singing, comedy, sketch-writing or fancy working behind the scenes of a theatrical production, then we are the society for you!  Our Fresher’s Sketch Show is on the 5th October in Mully’s Bar - bring your friends and have a great FREE comedy night out!  We look forward to seeing you all there!  UCLU MDs Comedy Revue Society have signed the Zero Tolerance to Sexual Harassment Pledge .",December 1898
Marxist Society,Gerard Birch,calr622@ucl.ac.uk,,http://www.facebook.com/groups/uclmarxists/,2.00,"Our aim is to educate ourselves in Marxist theory, campaign to build the forces of Marxism, and, ultimately, to struggle for socialism. We host weekly discussion meetings, lectures and debates on history, politics, economics and philosophy from a Marxist perspective, as well as reading groups, where we study classic works of Marxism, and film screenings.  As a student society, we aim to intervene in the political life of the campus and of the wider student movement. We are officially affiliated to the Marxist Student Federation, which unites and co-ordinates the Marxist societies on a national level. If you seek learn more or join the MSF, contact a representative of the UCLU Marxists or visit the Federation website: http://marxiststudent.com/  Everyone is welcome to our meetings, student or not, regardless of political views or affiliation. We meet every Thursday evening for discussion meetings and lectures. Join the group to keep updated on the upcoming events.  Contact us: uclu-marxistsociety@ucl.ac.uk ",September 2012
Masaryk Society,Michael Segeta,uczxmas@ucl.ac.uk,,https://www.facebook.com/groups/uclumasaryk/?fref=ts,3.00,"If you've got an interest in anything East European, then the Masaryk society is for you! In touch with embassies from Eastern Europe, membership offers you the chance to see a wide range of films with an East European twist and attend some amazing talks on a wide range of subjects: from Ivan the Terrible to vampires, we cater for all interests! With a strong social scene, the Masaryk society also runs cultural trips to local east European bars and restaurants, sampling some of the region's finer beverages and cuisine. So...if you fancy getting in touch with your Slavic side, then come and find us at our stall at Freshers' Fayre and guarantee yourself a unique and fun-filled year at UCL!",
Malaysian Society,Yongqun Lai,uczxcms@ucl.ac.uk,,https://www.facebook.com/groups/uclumsoc/?fref=ts,3.00,"The Malaysian Society strives to promote Malaysian culture to those interested in this diverse nation. We regularly organise (subsidised) dinners, theatre outings, placing great emphasis on performing arts with our annual Malaysian Night at the Logan Hall, which sees participation from all interested members!",
Magic Society,Kirsten Bark,uczxmgc@ucl.ac.uk,,https://www.facebook.com/UCLUMagic,5.00,"The UCLU Magic Society welcomes all magic enthusiasts and magicians (aspiring, currently performing professionally, or anything in between!) We meet weekly to teach basic magic to beginners running the gamut from card to coin, prop, and stage magic, with even some mentalism mixed in. For those with more knowledge in the arcane, come down to our (also weekly) sessions to practice or just hang out. All members are also given discounts to our shows and magic-related outings. For those specifically interested in performing while at uni, we can provide you with some great opportunities. So come be a spectator and practitioner of one of the world’s oldest and most enchanting art forms!  UCLU Magic Society have signed the Zero Tolerance to Sexual Harassment Pledge. ",
Live Music Society,Hannah Macpherson,uczxswr@ucl.ac.uk,,https://www.facebook.com/UcluLiveMusic,4.00," We are the Live Music Society! We're a group of musicians, sound technicians and music lovers who all have a passion for great music! We provide a variety of platforms for performances, including fortnightly Open Mic nights and Print Room Gigs, monthly gigs at The Albany on Great Portland Street and an annual Battle of the Bands competition. This year will also mark our  third Rhapsody, our annual Theatre show for which society members arrange, direct, produce and then perform the most ambitious numbers we can find. We also run the Bloomsbury Sessions in collaboration with UCLU Film Society, where we film and record live sessions of original songs written by our members before releasing them online - you can find those here .  Our members are hugely varied in their musical background, and so whether you deem yourself an old-hand on the open mic circuit, want some experience in mixing or recording live bands, or you're just learning your first guitar chords, you are very welcome to come and visit us in one of our usual haunts to play us a few songs, have a go at mixing, or simply have a listen. For those who are looking for bandmates whilst at university, we moderate the UCL Musicians' Noticeboard , which is a great platform for musicians to find one another. If you're interested in honing your skill a little more, we also host a range of workshops throughout the year including songwriting, vocal technique and sound tech.  We are lucky enough as a society to have the Soundproof Room, found in the basement of the Lewis Building, which can only be booked by Live Music members. The room is equipped with a full drum kit, piano, keyboard, bass cabinet, guitar amps and a PA with multiple vocal mics, and is ideal for practicing with your band.  Whilst anybody can come to our Open Mic Nights, Gigs, Battle of the Bands or Rhapsody, members not only have the ability to take part as performers or sound technicians, but will also have discounts to our ticketed events.  For more information, head over to our website or social media pages. Be sure to like our Facebook Page and join our slightly more interactive Facebook Group to keep up with what's on! ",
Life Ethics Society,Cecile Larralde,uclu-life.ethics.society@ucl.ac.uk,,https://www.facebook.com/LifeEthicsSociety,4.00,"Do artificial intelligence, slavery, and assisted suicide have anything at all in common?  Yes! They all raise interesting questions about the value of being human.  A teensy bit curious?  Life Ethics Society is a brand new and exciting society for those interested in what it means to be human. We are dedicated to exploring a fascinating range of Life Ethics issues and we are bringing the debate right here to the UCL community!  This year we will journey through some of the most topical discussions and ongoing debates, bringing together relevant disciplines such as philosophy, ethics, sociology and psychology.   What separates humans from animals?   Will the rise of Artificial Intelligence threaten what it means to be human?   Is capital punishment ever justifiable? And so much more  Join us for debates, discussions, film screenings, trips, and more!  Looking forward to an exciting new year! EVERYONE WELCOME :D  Life Ethics Society is bringing a debate on Life Ethics issues right here to the UCL community.",
Portuguese Society,Pedro Carvalho Gameiro Pinho de Oliveira,,,https://www.facebook.com/groups/452119764845276/,3.00,"UCLU PortSoc aims to promote and diffuse the Portuguese culture and language, while at the same time stress the importance of multi-culturalism, and emphasize the truly international nature of Portuguese culture.  Our society will give members an opportunity to immerse themselves in the Portuguese culture, without it being an exclusively Portuguese society. This cultural, social and intellectual experience will serve to broaden the horizons of UCL Students to a world outside of the university.  Portuguese is the sixth most spoken language in the world: it is an official language of the EU, and it is spoken across the world, in particular by a number of the important developing economies. This society will open a new world to UCL students: it will provide them with a point of entry into this global society, allowing them to take a step further to becoming global citizens.  Over the course of the year, the Society will organise a variety of different events, ranging from free Portuguese language lessons to talks; from movie and football nights to cultural, social and politically-related debates and cultural exhibitions.",December 2012
Pole Fitness,Radhika Srinivasan,,,https://www.facebook.com/uclupole,10.00,"Pole Fitness is a sport that combines many different forms of exercise: dance, gymnastics, endurance and strength training, acrobatics. Affiliated with the London Academy of Dance we provide some of the highest quality classes in the world with prices that students can afford! Weekly practice and taught classes are held in the Dance Studio at UCL and also at the LDA Studio in Old Street. At UCLU Pole Fitness, we aim to provide a fun, challenging method of keeping fit. We welcome all participants; from beginners to advanced. Come join us, along with our fully qualified instructors, to get fit and gain some great friends!  Anyone who is a member of UCLU can join our society (including affiliate members from other universities), and all our class details are sent out on our mailchimp mailing list and via facebook at the start of every term!  UCLU Pole Fitness Society have signed the Zero Tolerance to Sexual Harassment Pledge .    This Club is Pride in Sport Accredited  ",September 2011
Polish Society,Karol Waluszewski,,,https://www.facebook.com/groups/2210868453/,4.00,"The UCLU Polish Society is the gateway to Polish culture, politics, history and language open to anyone studying at University College London. Established in 2006, our organization aims to bring together UCL’s polish students or students that share a passion for Polish culture, history, cuisine, language or any other topic related to Poland. We work closely with a number of Polish cultural organizations, employers and UK-based student associations to organize student parties, cultural events, language classes, guest speaker lectures and social gatherings for our members and supporters. We hope that you join our society this year and help us make this year a memorable one!",September 2006
Poker Society,Danning Li,uczxpkr@ucl.ac.uk,,https://www.facebook.com/groups/169782593104538/,4.00,"UCLU Poker Society is now in its 6th year as a UCLU society and after the success of last year, this year only promises more and more fun. Last year, we organised a record 19 weekly tournaments. We also attended a London University Poker Tournament, organised a Charity Poker Tournament with the African Caribbean Society (ACS) and took a 15 students team to Coventry to represent UCL at the UK Student Poker Championship (UKSPC). But, it was not just about the poker, Poker Society FC made their debut in the IMS 5-a-side Football League and finished unbeaten. Our efforts were indeed recognised at the Societies Colours and Award nights where two of our committee members received awards and the society received a nomination for Most Developed Society of the Year.  This year, we intend running the usual weekly tournament and are planning for at least 15 in total throughout the first and second term. We have also negotiated a luxurious venue for a 100 students Inter-Universities Poker Tournament with the winner receiving a personalised trophy.  There will also be fortnightly training sessions for students new to poker that are keen to learn. If you are new to poker, feel free and familiarise yourself with the basics at: http://www.partypoker.com/how-to-play.html  We currently have an ongoing volunteering scheme with GoodGym where we help the community while keeping fit. We also aim to take a bigger team down to the UKSPC. To be kept up to date with everything that is coming up at PokerSoc, join our facebook group and sign up to the groupspaces mailing list.  UCLU Poker Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",September 2008
Pi Media,Alexander Hall,president@pimediaonline.co.uk,,https://www.facebook.com/groups/317374038466321/,12.00,"Pi Media consists of Pi Magazine, Pi Online and Pi TV. All UCL students are welcome to join us and contribute - whether writing, editing, photography, filming, presenting or design.  Pi Magazine is UCL’s largest student publication, published 4 times a year. Around 2,000 copies of the 60-page glossy magazine are distributed across campus. Covering a huge range, content includes student culture and lifestyle, as well as music and film, arts and science, and much more. Pi Magazine was recently named runner-up in the Best Student Publication category of the 2009 Guardian Student Media Awards, and won the Best Publication award at the 2012, 2013, and 2016 UCLU Arts Awards.  Pi Online is constantly updated with breaking student news, and reports on and reviews of UCL sports and arts productions – not forgetting many features and comment on the issues that matter. It won Best Publication at the 2015 UCLU Arts Awards and it won the Student Publication Association's Best Website 2015/16.  Pi TV , UCLU’s only student television outlet, offers an exciting opportunity to help its development as an innovative and unique platform, regardless of students’ past experience. Its shows include ‘Backstage Pass’ - a preview of student productions - chat shows and campus news, with opportunities to get involved in all. It won the Best Collaboration award with Film Society in 2013.  UCLU Pi Media Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",January 1946
Photo Society,Jiaqi Weng,uczxpho@ucl.ac.uk,,http://www.facebook.com/groups/2212184177/,10.00,"PhotoSoc is a society dedicated to bringing people together that are passionate about photography; be it taking, developing, looking at or discussing photos. We have a fully equipped darkroom that inducted members can use. We also run workshops in developing and printing as well as photography technique, studio lighting and events photography, covering both the film and digital side. There are weekly photo walks to many different places in London as well as excursions to galleries and socials, so members at all levels will have the opportunity to improve and get involved.  Website: www.uclps.co.uk Facebook Page: https://www.facebook.com/uclphotography Facebook Group: www.facebook.com/groups/2212184177 Official Flickr Page: www.flickr.com/photos/ucluphotosoc  UCLU Photo Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Pakistan Society,Affaf Qureshi,uczxpak@ucl.ac.uk,,https://www.facebook.com/groups/uclupakistansoc/?ref=ts&fref=ts,4.00,"The UCLU Pakistan Society is a lively cultural group that celebrates the culture and diversity of the 6th largest nation in the world. Whether it is to meet new people, share new experiences or simply to get a taste of home, our regular events cater to everyone’s needs. We organise activities such as bowling, ice-skating, shisha nights, movie screenings, dinners, football games and cricket games!  So come and join in because we are not just a society, we are a family!",
Pharmaceutical Society,Mateusz Panek,uclu-biopharma.cosmetics.society@ucl.ac.uk,,https://www.facebook.com/uclpharma/,5.00,"The UCLU Pharmaceutical Society provides students with the opportunity to understand the dynamics of the pharmaceutical, biotechnology, and cosmetic industries. Our events will enable members to discuss the latest advances in these sectors, explore career prospects, and network with industrial and academic leaders. Our activities range from conferences and guest lectures to career fairs and company tours.",
Parkour Club,Anisha Mangtani,,,https://www.facebook.com/groups/ucluparkourclub/,8.00,"UCLU Parkour Club is a society of active people that learn skills and movements like no other sport. Parkour is a philosophy of challenging oneself and each other in order to be able to overcome any obstacle, be it physical or mental. As it has its roots in movement, this task could involve moving from A to B in the quickest and most effective way possible, traversing 30m across a high wall or cleanly landing a tricky move. Whatever the challenge, Parkour builds you up to be able to conquer your goals from the ground up. In our lessons, you will be taught how to vault, jump and flow smoothly over a variety of obstacles in an urban environment. If this freedom of movement appeals to you and you want to see the environment as a playground to test your skills, then this is the club for you! Regardless of fitness level or experience UCLU Parkour caters for everyone. With some world class Parkour coaches being drafted in to teach each class, members can expect a good workout in safe hands. Our sessions always feature a strong team spirit and run at a member-exclusive discount. Whether you want to incorporate Parkour into a healthy lifestyle or become a seasoned traceur, please take advantage of our FREE coached classes and social events by joining for only £25 a year!  We run weekly coached sessions every Wednesday is varying locations, as well as an open session most Saturdays, some of which take place in either the UCLU dojo or East London Gymnastics Gym. For more information, search for UCLU parkour on Facebook, or visit out website at WWW.ucluparkourclub.org.uk Contact: Gyen (President): president@ucluparkourclub.org.uk Daniel (Treasurer): treasurer@ucluparkourclub.org.uk Jason (Assistant Coach): zcfajch@live.ucl.ac.uk Nick (Assistant Coach): nickch@live.co.uk  UCLU Parkour Club have signed the Zero Tolerance to Sexual Harassment Pledge .    This Club is Pride in Sport Accredited  ",September 2012
Origami Society,Yuou Zhao,,,http://www.facebook.com/groups/ucluorigami/,3.00,"Origami is the centuries-old Japanese art of paper folding. A simple piece of paper can be transformed into an impressive 3D sculpture using a combination of simple and complex folding techniques.  We meet on a weekly basis to learn new origami models, and will be hosting a number of social events and competitions. We also provide opportunities for volunteering - we hold an annual charity fundraising event and run a scheme to teach origami to children in hospitals and primary schools.  Our society is not only a place to learn about and do origami but a place where you will hear cries of frustration, feel the pain of paper cuts, where strangers become friends and paper becomes art.  Everyone is welcome to join, from compete beginners to experts.  Join us to increase your origami skills tenfold!  UCLU Origami Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Netball Club,Ciara McMahon,uczxnet@ucl.ac.uk,,https://www.facebook.com/uclunetball,8.00,"UCLU Netball is a well-established, popular club at UCL that caters for players of all abilities; whether you have been playing netball for years or are at beginners level then come and join us!  We have 5 competitive teams who play in the BUCS and LUSL leagues, training weekly to facilitate the progression of the teams. If you don’t want to play competitively, come along to our bi-weekly social netball sessions where members of our teams run ball skill sessions and friendly games. For anyone who has never played before, look out for our ‘Give it a Go’ netball taster session during freshers’ fortnight where you can learn the basics of the game before hopefully joining us for the year!  The netball club has a great social calendar with weekly get togethers on ‘Sports Night’, themes ranging from Smurfs vs Avatar to Greek Goddesses. We regularly have netball club meals and have many organised events with different UCLU clubs.  In November we look forward ‘Mystery Tour’; a short trip to an unknown location organised by the social secretaries. February will see the return of the infamous netball ball which last year raised over £300 for charity. We have an annual sports tour at the start of summer, where we play netball abroad whilst enjoying the sun. Previous locations include Malta, Spain and Croatia.  The club runs volunteering sessions throughout the year. Our main project is with UCL Academy, coaching netball to year 7 and 8 girls. If coaching isn’t for you then join us on our one off netball volunteering sessions that occur across all terms.  For further information take a look at our website and make sure you like our Facebook page and follow us on twitter!  UCLU Netball Club have signed the Zero Tolerance to Sexual Harassment Pledge .     This Club is Pride in Sport Accredited  ",
Nordic Society,Pauline Baudry,uczxutn@ucl.ac.uk,,https://www.facebook.com/UcluNordicSociety,5.00,"The UCLU Nordic Society is for all those with a background or an interest in the Nordic countries. The Nordic Society takes a broad view on what can be said to encompass the Nordic region. Together with Denmark, Finland, Iceland, Norway and Sweden, we include their self-governing island territories and even Estonia. We gather to see films, go on outings, organise pub nights, celebrate Nordic traditional holidays and much more. Sometimes we might just dress up as Vikings and go pillaging. Anything can happen. Like our Facebook page and stay frequently updated!  UCLU Nordic Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
